district,district_type,year,workers,total,percent,percent_lower,percent_upper,cv,quality
Cambridge,City,2016,3140,67305,4.6653294703216694,NA,NA,NA,NA
Cambridge,City,2021,14100,65845,21.413926645910852,20.704652138456414,22.140714312717506,0.016462824531430036,NA
Kitchener,City,2016,6545,121195,5.4003878047774245,NA,NA,NA,NA
Kitchener,City,2021,33970,124325,27.32354715463503,26.726572473935423,27.92877362485033,0.010800964268604395,NA
North Dumfries,Township,2016,460,5680,8.098591549295776,NA,NA,NA,NA
North Dumfries,Township,2021,1535,5560,27.60791366906475,25.23251566928329,30.11685648142322,0.04347620836436451,NA
Region,Region,2016,18850,277790,6.785701429137118,NA,NA,NA,NA
Region,Region,2021,82225,283815,28.97133696245794,28.630139792263098,29.31493014715061,0.005802190681190454,NA
Waterloo,City,2016,4115,53330,7.716107256703545,NA,NA,NA,NA
Waterloo,City,2021,23380,58050,40.27562446167097,39.66267622025826,40.89162553638689,0.007490617559602372,NA
Wellesley,Township,2016,1530,5910,25.888324873096447,NA,NA,NA,NA
Wellesley,Township,2021,2240,5840,38.35616438356164,35.72426491198939,41.058103857062505,0.03418334388418571,NA
Wilmot,Township,2016,1060,10865,9.75609756097561,NA,NA,NA,NA
Wilmot,Township,2021,2975,10495,28.34683182467842,26.419960899191665,30.356256315558827,0.03411105480678846,NA
Woolwich,Township,2016,1995,13505,14.77230655312847,NA,NA,NA,NA
Woolwich,Township,2021,4035,13700,29.45255474452555,28.12167675015569,30.819411381529427,0.022491634209411904,NA
